id,bundle,name,definition,evidence_strength,grounding_sources
01-1,AI Orientation,Strategic Intent and Leadership Commitment,"The degree to which senior leadership, especially the CIO and board, articulate, champion, and sustain a clear vision for AI as a source of value and transformation.",strong,#01: 'as CIO I have to convince the board about this; It was must to have commitment from our board so that the message is communicated clearly; I got myself involved and kept a closed control till POC and then delegated'; #20: 'CIOs who lead the charge on GenAI will capture value... CIOs should lead on responsible AI... CIOs must prioritize use cases based on value...'; #08: 'Questions about CIO leadership speed indicate CIO centrality in AI transformation'
01-2,AI Orientation,Resource Commitment and Governance,"The extent of organizational investment in AI-related resources (talent, data, technology) and the establishment of governance mechanisms to guide responsible and scalable AI adoption.",strong,"#20: 'establish a modular and scalable architecture... develop governance practices... invest heavily in change management... build hybrid internal talent teams'; #18: 'Companies need to take action now, upskilling existing teams, expanding hiring strategies, and rethinking ways to attract and retain AI talent'; #14: 'Managing data like a product requires ownership, lifecycle thinking, and user-centric design... Organizations unlock value by managing data assets and solutions as strategic resources'"
01-3,AI Orientation,Breadth and Depth of AI Adoption,"The scope and scale of AI integration, ranging from targeted process improvements to enterprise-wide transformation, and the organization's capacity to manage change throughout this journey.",moderate,"#01: 'We are working on four to five assignments in parallel... for outbound operations, inbound operations or data science platform with designated timelines for implementation'; #06: 'Integrating AI into organizations can significantly alter organizational processes and employee practices; Effective change management is key for successful AI adoption'; #14: 'Managing data as a product fuels innovation at scale'"
TR-1,Trust Readiness,AI Risk Policy and Accountability Structures,"The establishment and maintenance of clear roles, responsibilities, and oversight mechanisms for AI governance, ensuring accountability for system outcomes and compliance with ethical and legal standards.",strong,"#25: 'Accountability will also drive designated individuals or teams to be responsible for AI system governance and outcomes... EDM01 (Ensured Governance Framework Setting and Maintenance) requires the establishment and enforcement of a governance framework that clarifies roles and maintains organizational accountability.'; #26: 'The Regulation requires clear accountability and governance structures for AI systems... mandates compliance with regulatory requirements.'; #22: 'The NIST AI Risk Management Framework provides organizations with a structured approach to identify, assess, and manage risks associated with AI systems... supports the development of AI systems that are safe, accountable, auditable, and compliant...'"
TR-2,Trust Readiness,Data Governance and Integrity Assurance,"The implementation of policies and controls to ensure data quality, privacy, and protection throughout the AI lifecycle, including compliance with data protection regulations and mitigation of bias.",strong,"#25: 'Data quality is important to ensure datasets contain accurate information and bias is identified and mitigated... periodic assessments are performed... documentation to outline the quality assurance and safety practices followed for AI systems.'; #26: 'Providers and deployers of AI systems must comply with data protection laws in their role as data controllers or processors.'; #23: 'ISO/IEC 42001 defines requirements for an AI management system (AIMS) that supports assurance-by-design competencies, including risk assessment, transparency, and data governance...'"
TR-3,Trust Readiness,AI Evaluation and Monitoring Governance,"Continuous assessment and monitoring of AI system performance, security, and compliance, including the establishment of internal controls and real-time corrective mechanisms.",strong,"#25: 'Monitoring — MEA01 (Managed Performance and Conformance Monitoring) practices can be facilitated by setting monitoring targets for AI performance... MEA02 (Managed System of Internal Control) ensures internal controls such as security and compliance checks are embedded.'; #22: 'The NIST AI Risk Management Framework... supports the development of AI systems that are safe, accountable, auditable, and compliant...'; #24: 'ISO/IEC 23894 provides guidance on AI risk management... addressing risk identification, assessment, mitigation, and monitoring for AI systems.'"
TR-4,Trust Readiness,Regulatory Compliance Translation Capability,"The organizational ability to interpret, operationalize, and demonstrate adherence to relevant AI regulations and standards across jurisdictions.",strong,"#25: 'The EU AI Act... implements strict requirements for acceptable use, including rigorous compliance processes for high-risk AI systems.'; #26: 'Harmonised rules applicable to high-risk AI systems include transparency, technical documentation, record-keeping, and compliance with existing Union law on data protection, consumer protection, fundamental rights, and product safety.'; #20: 'CIOs must lead on responsible AI by working with cross-functional teams... to create clear policies governing AI tools, uses, and regulatory compliance.'"
TR-5,Trust Readiness,Agentic Threat Surface Mapping and Incident Response,"The identification and mitigation of AI-specific threat vectors (e.g., prompt injection, supply chain vulnerabilities, excessive autonomy) and the establishment of incident response protocols to safeguard system integrity and stakeholder trust.",strong,"#29: 'LLM01: Prompt Injection... LLM05: Supply Chain Vulnerabilities... LLM08: Excessive Agency... jeopardizing reliability, privacy, and trust.'; #25: 'Security in AI involves implementing safeguards to protect the AI system and its data from unauthorized access and attacks... establish secure environments for data storage, model training, and operations.'"
TR-6,Trust Readiness,Human Override and Control Mechanisms,"Ensuring that human actors retain ultimate oversight and intervention capabilities over AI system decisions, supporting human-centric and trustworthy AI deployment.",moderate,"#25: 'The organization creates a governance structure that involves multiple stakeholders... ensuring each decision-making entity knows its responsibility regarding the AI system.'; #26: 'AI should be a human-centric technology serving as a tool for people, with the ultimate aim of increasing human well-being.'; #29: 'LLM08: Excessive Agency... unchecked autonomy... jeopardizing reliability, privacy, and trust.'"
IR-1,Integration Readiness,Modular and Scalable Architecture,"The design and implementation of flexible, microservice-based architectures that support agentic AI integration, enable orchestration across legacy and modern systems, and facilitate rapid scaling.",strong,"#09: 'building agent-compatible architectures, implementing robust orchestration frameworks, and developing new management approaches for digital workers...from microservice-based agent architectures to silicon-workforce management'; #10: 'Enterprise architecture now faces the task of navigating AI integration...nimbleness in recognizing trends, implementing transformative processes swiftly, and handling vast data volumes.'; #20: 'Establish a modular, scalable architecture—move from patchwork silos to an enterprise AI foundation...'"
