req_id,source,function,requirement,bundle,competency_statement,Single-Agent Orchestration Pattern,Multi-Agent Orchestration Pattern,Tool-Use Boundaries & Least-Privilege Access,Human-in-the-Loop Approval Gates,Nondeterminism Controls & Output Validation,RAG Architecture & Data Grounding,GenAIOps / MLOps Lifecycle Governance,Evaluation & Monitoring Infrastructure,Prompt Management & Secret Handling,Scalable Modular Architecture (Archetypes),AI Risk Policy & Accountability Structures,Threat Modeling & Red-Teaming,Incident Response & Recovery Playbooks,Audit Logging & Telemetry,Regulatory Compliance Documentation,Supply Chain & Vendor Risk Controls,Data Governance & Access Controls,Human Override & Control Mechanisms
NIST-GV-1,NIST AI RMF 1.0,GOVERN,"Policies, processes, procedures and practices for mapping, measuring, and managing AI risks are in place, transparent, and implemented effectively.",Trust Readiness,"Organizations must establish and transparently implement comprehensive policies, processes, and procedures for mapping, measuring, and managing AI risks, supported by lifecycle governance, clear accountability structures, and robust compliance documentation.",,,,,,,X,,,,X,,,,X,,,
NIST-GV-2,NIST AI RMF 1.0,GOVERN,Accountability structures empower appropriate teams and individuals for AI risk management.,Trust Readiness,"Organizations must empower designated teams and individuals with clearly defined roles and responsibilities for AI risk management, ensuring accountability is embedded within governance structures.",,,,,,,,,,,X,,,,,,,
NIST-GV-3,NIST AI RMF 1.0,GOVERN,Organizational culture considers and communicates AI risk.,Trust Readiness,"Organizations should foster a culture that actively considers and communicates AI risks, embedding risk awareness and transparency into organizational values and behaviors.",,,,,,,,,,,X,,,,,,,
NIST-GV-4,NIST AI RMF 1.0,GOVERN,Organizational teams are committed to a culture that considers AI risk.,Trust Readiness,"Organizational teams must demonstrate commitment to a culture that prioritizes AI risk, supported by governance mechanisms that reinforce ethical and responsible AI practices.",,,,,,,,,,,X,,,,,,,
NIST-GV-5,NIST AI RMF 1.0,GOVERN,Senior leadership and board members understand and contribute to AI risk management.,Trust Readiness,"Senior leadership and board members must be engaged and informed participants in AI risk management, contributing to oversight and strategic alignment of AI initiatives.",,,,,,,,,,,X,,,,,,,
NIST-GV-6,NIST AI RMF 1.0,GOVERN,"Policies address AI risks from third-party software, data, and supply chain.",Trust Readiness,"Organizations must implement policies and controls to identify, assess, and mitigate AI risks arising from third-party software, data, and supply chain dependencies.",,,,,,,,,,,,,,,,X,,
NIST-MP-1,NIST AI RMF 1.0,MAP,"Context established for AI system risks through understanding of intended purpose, impacts, and deployment context.",Integration Readiness,"Organizations must establish processes and infrastructure to systematically understand and document the intended purpose, impacts, and deployment context of AI systems, enabling effective risk mapping.",,,,,,,X,X,,,,,,,,,,
NIST-MP-2,NIST AI RMF 1.0,MAP,Scientific findings and organizational practices integrated to characterize AI risks.,Integration Readiness,"Organizations must integrate scientific findings and organizational practices into their risk characterization processes, leveraging lifecycle governance and monitoring to ensure risks are accurately identified and contextualized.",,,,,,,X,X,,,,,,,,,,
NIST-MP-3,NIST AI RMF 1.0,MAP,AI risks and benefits mapped and prioritized by likelihood and magnitude of impact.,Integration Readiness,"Organizations must systematically map and prioritize AI risks and benefits by likelihood and impact, utilizing lifecycle governance and robust evaluation and monitoring mechanisms.",,,,,,,X,X,,,,,,,,,,
NIST-MP-4,NIST AI RMF 1.0,MAP,Risks and benefits understood by the organization and relevant AI actors.,Integration Readiness,"Organizations must ensure that both internal and external AI actors understand the mapped risks and benefits of AI systems, facilitated by transparent lifecycle governance and accessible monitoring outputs.",,,,,,,X,X,,,,,,,,,,
NIST-MP-5,NIST AI RMF 1.0,MAP,Practices and personnel for supporting AI risk identification are in place.,Trust Readiness,"Organizations must establish structured practices and assign personnel to proactively identify, assess, and document AI risks throughout the system lifecycle, leveraging threat modeling and lifecycle governance to ensure comprehensive risk awareness and mitigation.",,,,,,,X,,,,,X,,,,,,
