exp_num,experiment_id,status,hypothesis,prior,prior_label,posterior,posterior_label,surprise,surprise_label,is_surprising,parent_id,n_children,runtime_s,created_at,objective,analysis_snippet,folder
1,node_2_0,SUCCEEDED,"Adversarial Tactic-Gap Fingerprinting: 'Evasion' tactics (AML.TA0007) correlate with 'Model Robustness' competency gaps, while 'Exfiltration' (AML.TA0012) correlates with 'System Access' gaps.",0.9194,Definitely True,0.8077,Likely True,-0.134,Mild Negative (hypothesis weakened),False,node_1_0,0,377.7,2026-02-22T00:59:38.882484+00:00,Correctly parse and correlate atomic adversarial tactics with specific governance competency gaps to validate the hypothesis.,"The experiment was successful. The programmer correctly addressed the previous data parsing issue by implementing a regex splitter (`re.split(r'[;,]', val)`) to handle semicolon delimiters. This allow",EXP_001_node_2_0
2,node_2_1,FAILED,"Harm Domain Locality: The 'Physical' harm domain is almost exclusively isolated to the 'Transportation' and 'Industrial' sectors, whereas 'Psychological' harm is distributed broadly across 'Social Media', 'Healthcare', and 'Entertainment'.",,Unknown,,Unknown,,N/A,,node_1_0,0,739.8,2026-02-22T00:59:38.883750+00:00,Validate the hypothesis by analyzing the distribution of sectors for specific harm types ('Physical' vs. 'Psychological') using the 'Tangible Harm' column.,The previous code execution encountered a `ValueError` caused by duplicate indices in the DataFrame. This duplication happened because the `explode` function was used to separate multiple sectors per ,EXP_002_node_2_1
3,node_2_2,SUCCEEDED,"Commercial 'Black-Box' Opacity: AI systems procured from commercial vendors (COTS) exhibit significantly lower rates of deep governance compliance (specifically Independent Evaluation and Impact Assessments) compared to custom-developed government systems, due to vendor proprietary constraints.",0.75,Likely True,0.2328,Likely False,-0.6207,Strong Negative (hypothesis contradicted),True,node_1_0,1,315.8,2026-02-22T01:11:59.809669+00:00,Compare Tier 2 governance readiness scores between commercial and custom AI systems in the federal inventory.,The experiment successfully loaded the EO 13960 dataset and compared governance compliance rates between Custom (n=1357) and Commercial (n=353) AI systems. Contrary to the hypothesis that commercial ',EXP_003_node_2_2
4,node_2_3,SUCCEEDED,"The Technical Implementability Gap: Governance requirements related to 'Fairness' and 'Explainability' map to significantly fewer unique architectural controls than requirements related to 'Security', suggesting they are harder to operationalize technically.",0.7742,Likely True,0.4286,Maybe False,-0.4147,Strong Negative (hypothesis contradicted),True,node_1_0,1,218.9,2026-02-22T01:11:59.812909+00:00,Compare the density of architectural controls across different Trust Readiness domains.,"The experiment successfully loaded the `context_crosswalk_evidence.json` dataset and generated the requested statistics and visualizations. Due to the high-level bundle labels ('Trust Readiness'), the",EXP_004_node_2_3
5,node_2_4,SUCCEEDED,"The 'Legacy' Debt: AI systems in the 'Operation' phase are significantly less likely to have undergone Algorithmic Impact Assessments compared to systems in the 'Development' or 'Planning' phases, reflecting a lack of retroactive governance for legacy systems.",0.9435,Definitely True,0.3214,Maybe False,-0.7465,Strong Negative (hypothesis contradicted),True,node_1_0,1,183.4,2026-02-22T01:17:16.932127+00:00,Determine if deployment stage predicts compliance with impact assessment requirements.,"The experiment successfully analyzed the relationship between AI lifecycle stages and compliance with Algorithmic Impact Assessments (Section 52 of EO 13960). The code processed 1,757 records, categor",EXP_005_node_2_4
6,node_2_5,SUCCEEDED,"Sector-Specific Technical Failures: The 'Financial' sector is disproportionately plagued by 'Fairness/Bias' technical failures, whereas the 'Transportation' sector is dominated by 'Robustness' and 'Safety' failures.",0.9839,Definitely True,0.6648,Maybe True,-0.3828,Strong Negative (hypothesis contradicted),True,node_1_0,0,193.6,2026-02-22T01:17:16.936678+00:00,Map technical failure types to deployment sectors to identify sector-specific risks.,"The code successfully loaded the dataset and performed the contingency analysis using the `aiid_incidents` subset. However, the analysis reveals significant data sparsity issues. After filtering for t",EXP_006_node_2_5
7,node_2_6,SUCCEEDED,"The Privacy-Control Gap: Among federal AI systems that explicitly process PII (Personally Identifiable Information), a significant majority fail to provide an 'Opt-Out' mechanism, indicating a disconnect between privacy risk acknowledgement and privacy control implementation.",0.9758,Definitely True,0.9918,Definitely True,0.0191,Neutral (no significant belief shift),False,node_1_0,0,186.0,2026-02-22T01:20:31.779028+00:00,Quantify the gap between PII presence and Opt-Out control availability.,"The experiment successfully quantified the Privacy-Control Gap within the EO 13960 dataset. Out of 1,757 systems, the code identified 171 systems that explicitly process PII. The analysis revealed a m",EXP_007_node_2_6
8,node_2_7,SUCCEEDED,"Autonomy-Harm Escalation: In real-world incidents, higher levels of AI autonomy are positively correlated with higher severity of harm (Harm Level), independent of the sector of deployment.",0.621,Maybe True,0.7555,Likely True,0.1614,Mild Positive (hypothesis somewhat supported),False,node_1_0,0,230.4,2026-02-22T01:20:31.786102+00:00,Investigate the relationship between system autonomy and the severity of incident outcomes.,"The experiment successfully cleaned and analyzed the AIID dataset, resulting in 177 incidents with valid autonomy and harm classifications. The Spearman rank correlation indicated a statistically sign",EXP_008_node_2_7
9,node_3_0,SUCCEEDED,"The Autonomy-Harm Escalation: In real-world AI incidents, systems with 'High' autonomy levels are associated with a significantly higher severity of harm compared to systems with 'Low' or 'No' autonomy.",0.7097,Likely True,0.4066,Maybe False,-0.3637,Strong Negative (hypothesis contradicted),True,node_2_4,0,347.3,2026-02-22T01:24:23.550936+00:00,Investigate the relationship between system autonomy and harm severity in the AIID dataset.,"The experiment successfully tested the 'Autonomy-Harm Escalation' hypothesis using the AIID dataset. After applying the precise string mappings identified in the debugging phase ('Autonomy1'='Low', et",EXP_009_node_3_0
10,node_3_1,SUCCEEDED,"Vendor Transparency Gap: AI systems identified as specific 'Commercial' applications in the EO 13960 inventory are significantly less likely to grant 'Code Access' for governance review compared to systems classified as 'None of the above' (proxy for Custom/In-House), creating a 'Black Box' governance barrier.",0.7823,Likely True,0.9258,Definitely True,0.1723,Mild Positive (hypothesis somewhat supported),False,node_2_2,0,325.2,2026-02-22T01:24:23.552287+00:00,Compare the rate of source code accessibility between Commercial and Custom AI systems by correctly parsing verbose survey responses.,"The experiment successfully tested the 'Vendor Transparency Gap' hypothesis using the EO 13960 dataset. By correctly parsing verbose survey responses, the analysis classified 1,404 systems as Custom/O",EXP_010_node_3_1
11,node_3_2,SUCCEEDED,"Federal AI systems processing PII (Personally Identifiable Information) are not statistically more likely to maintain a 'Data Catalog' than non-PII systems, revealing a critical gap in privacy governance implementation.",0.4194,Maybe False,0.8022,Likely True,0.4594,Strong Positive (hypothesis strengthened),True,node_2_3,0,291.4,2026-02-22T01:30:12.496455+00:00,Evaluate if PII-flagged systems trigger better data documentation practices.,The experiment successfully analyzed 834 valid records from the EO13960 dataset to evaluate the relationship between PII processing and data catalog maintenance. The results support the hypothesis tha,EXP_011_node_3_2
