competency_id,req_id,bundle,competency_statement,applicable_controls,evidence_summary
COMP-01,NIST-GV-1,Trust Readiness,"Organizations must establish and transparently implement comprehensive policies, processes, and procedures for mapping, measuring, and managing AI risks, supported by lifecycle governance, clear accountability structures, and robust compliance documentation.",GenAIOps / MLOps Lifecycle Governance; AI Risk Policy & Accountability Structures; Regulatory Compliance Documentation,[#11] Lifecycle governance ensures that risk management processes are embedded and operationalized across the AI system lifecycle.; [#25] Explicit risk policies and accountability structures are foundational for transparent and effective risk management.; [#26] Documenting compliance activities ensures transparency and supports effective implementation of risk management practices.
COMP-02,NIST-GV-2,Trust Readiness,"Organizations must empower designated teams and individuals with clearly defined roles and responsibilities for AI risk management, ensuring accountability is embedded within governance structures.",AI Risk Policy & Accountability Structures,[#25] This control directly addresses the need for empowered and accountable structures for AI risk management.
COMP-03,NIST-GV-3,Trust Readiness,"Organizations should foster a culture that actively considers and communicates AI risks, embedding risk awareness and transparency into organizational values and behaviors.",AI Risk Policy & Accountability Structures,[#25] Cultural and ethical governance structures are necessary to ensure AI risk is considered and communicated organization-wide.
COMP-04,NIST-GV-4,Trust Readiness,"Organizational teams must demonstrate commitment to a culture that prioritizes AI risk, supported by governance mechanisms that reinforce ethical and responsible AI practices.",AI Risk Policy & Accountability Structures,[#25] Governance structures that emphasize culture and ethics are essential for team commitment to AI risk consideration.
COMP-05,NIST-GV-5,Trust Readiness,"Senior leadership and board members must be engaged and informed participants in AI risk management, contributing to oversight and strategic alignment of AI initiatives.",AI Risk Policy & Accountability Structures,[#25] Leadership engagement in governance frameworks ensures understanding and contribution to AI risk management.
COMP-06,NIST-GV-6,Trust Readiness,"Organizations must implement policies and controls to identify, assess, and mitigate AI risks arising from third-party software, data, and supply chain dependencies.",Supply Chain & Vendor Risk Controls,[#29] Explicit supply chain and vendor risk controls are required to address third-party AI risks.
COMP-07,NIST-MP-1,Integration Readiness,"Organizations must establish processes and infrastructure to systematically understand and document the intended purpose, impacts, and deployment context of AI systems, enabling effective risk mapping.",GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure,[#11] Lifecycle governance supports contextual understanding and documentation of AI system risks.; [#11] Monitoring infrastructure enables ongoing contextual assessment of AI system impacts and deployment.
COMP-08,NIST-MP-2,Integration Readiness,"Organizations must integrate scientific findings and organizational practices into their risk characterization processes, leveraging lifecycle governance and monitoring to ensure risks are accurately identified and contextualized.",GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure,[#11] Lifecycle governance incorporates scientific and organizational knowledge into risk characterization.; [#11] Monitoring and evaluation infrastructure supports integration of scientific findings into risk assessment.
COMP-09,NIST-MP-3,Integration Readiness,"Organizations must systematically map and prioritize AI risks and benefits by likelihood and impact, utilizing lifecycle governance and robust evaluation and monitoring mechanisms.",GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure,[#11] Lifecycle governance and evaluation processes enable systematic risk and benefit mapping and prioritization.; [#11] Monitoring infrastructure supports ongoing prioritization and assessment of AI risks and benefits.
COMP-10,NIST-MP-4,Integration Readiness,"Organizations must ensure that both internal and external AI actors understand the mapped risks and benefits of AI systems, facilitated by transparent lifecycle governance and accessible monitoring outputs.",GenAIOps / MLOps Lifecycle Governance; Evaluation & Monitoring Infrastructure,[#11] Lifecycle governance ensures risk and benefit information is communicated to relevant stakeholders.; [#11] Monitoring infrastructure provides accessible outputs to inform AI actors about risks and benefits.
